,GQ id,name,EAN id,Kmeans with 6cluster ,Kmeans with 5 cluster ,BinaryClustring 5 ,BinaryClustring 6 ,Hierarchical Clustering 5,Hierarchical Clustering 6 ,Hybrid Clustring 5 
35,66276,Traders Hotel Kuala Lumpur,66276,4,4,4,4,5,1,2
36,60207,Novotel Kuala Lumpur,60207,5,2,5,2,1,6,1
37,40968,Hilton Kuala Lumpur,40968,2,2,5,1,5,1,2
38,15473,Sama Sama Hotels,15473,2,2,5,1,5,1,1
39,252010,Ramada Plaza Kuala Lumpur,252010,2,2,5,1,1,6,1
40,251855,E&O Residence Kuala Lumpur,251855,5,3,3,2,1,6,1
41,249125,"The Majestic Kuala Lumpur, Autograph Collection",249125,5,2,5,2,1,6,1
42,217864,"Sunway Resort Hotel & Spa, Kuala Lumpur",217864,2,2,5,1,5,1,1
43,196232,Empire Hotel Subang,196232,5,3,3,2,1,6,1
44,64267,Cititel Mid Valley,64267,4,4,4,4,5,1,2
45,18739,Swiss Inn Chinatown Kuala Lumpur,18739,3,3,3,3,4,4,3
46,17001,The Ritz-Carlton Kuala Lumpur,17001,2,2,5,1,1,6,1
47,498943,Sunway Clio Hotel,498943,2,2,5,1,1,6,1
48,196227,Sentral Pudu,196227,3,3,3,3,4,4,3
49,176502,Prescott Hotel Kuala Lumpur - Medan Tuanku,176502,3,3,3,3,4,4,3
50,73717,Maya Kuala Lumpur,73717,5,3,3,2,1,6,1
51,12374,Hotel Istana Kuala Lumpur City Center,12374,2,2,5,1,5,1,2
52,540913,Somerset Damansara Uptown Petaling,540913,5,3,3,2,1,6,1
53,375273,Transit Kuala Lumpur,375273,3,3,3,3,4,4,5
54,362518,Tune Hotel - Klia2,362518,2,2,5,1,5,1,1
55,194669,Somerset Kuala Lumpur,194669,5,3,3,2,1,6,1
56,190639,Parkroyal Serviced Suites Kuala Lumpur,190639,5,2,5,2,1,6,1
57,68018,PNB Perdana Hotel & Suites On The Park,68018,2,2,5,1,1,6,1
58,11162,Grand Pacific Hotel Kuala Lumpur,11162,3,3,3,3,4,4,5
59,493089,Holiday Inn Express Kuala Lumpur City Centre,493089,2,2,5,1,1,6,1
60,463979,Dorsett Putrajaya,463979,5,3,3,2,1,6,1
61,399883,Izumi Hotel Bukit Bintang,399883,3,3,3,3,4,4,3
62,362557,Sandpiper Hotel,362557,3,5,2,3,4,4,5
63,312386,Vivatel Kuala Lumpur,312386,5,2,5,2,1,6,1
64,312201,Arenaa Star,312201,5,3,3,2,1,6,1
65,231240,Travelodge City Centre,231240,5,3,3,2,1,6,1
66,217858,Sky Hotel Bukit Bintang,217858,3,3,3,3,4,4,3
67,163133,Fraser Place Kuala Lumpur,163133,5,2,5,2,1,6,1
68,60869,Pacific Regency Hotel Suites,60869,5,2,5,2,1,6,1
69,35753,The Federal Kuala Lumpur,35753,2,2,5,1,5,1,2
70,448328,e.City Hotel at OneCity,448328,5,3,3,2,1,6,1
71,377176,The Everly Putrajaya,377176,2,2,5,1,1,6,1
72,376368,Tune Hotel - DPulze Cyberjaya,376368,3,3,3,3,4,4,5
73,374946,O'Boutique Suites,374946,6,5,2,5,2,2,4
